법정동,법정동코드,택스_승차합,택시_하차합,BUS_정류장_개수,BUS_탑승,BUS_하차,BUS_환승,고령인구 발생량,고령인구 도착량,교통유동량,버스혼잡도
동구 원동,3011010100,10407,8604,7,534244,443947,239119,886,1018,997202,597665
동구 인동,3011010200,16079,14672,9,109486,90610,22056,391,102,230847,119553.7778
동구 효동,3011010300,6181,6680,7,52783,45757,5595,50,4,111401,59319.71429
동구 천동,3011010400,9901,12841,10,39214,32618,1133,28,7,94574,42475.8
동구 가오동,3011010500,32633,35952,25,181248,168749,10920,218,32,418582,187997.96
동구 신흥동,3011010600,8033,8078,7,50446,41186,7010,43,19,107743,56329.71429
동구 판암동,3011010700,31547,35589,20,279203,258828,94497,70942,67931,605167,292144.4
동구 삼정동,3011010800,299,572,10,19854,14402,3227,140,56,35127,21294.2
동구 용운동,3011010900,43858,50180,33,268069,220737,6693,533,93,582844,274758
동구 대동,3011011000,31965,31008,13,316589,279381,145440,39013,37715,658943,338079.8462
동구 자양동,3011011100,40474,43147,9,258978,209874,22071,91,28,552473,282297.3333
동구 신안동,3011011200,4074,4057,3,16400,19725,1932,8,6,44256,22975
동구 소제동,3011011300,16161,31265,10,69479,67233,11369,18,7,184138,76202.3
동구 가양동,3011011400,85966,92724,25,495948,360044,56967,662,85,1034682,510349.76
동구 용전동,3011011500,119092,113779,17,666722,432828,125802,377,21,1332421,692182.4706
동구 성남동,3011011600,29908,32626,9,421032,524303,130566,174,79,1007869,479287.8889
동구 홍도동,3011011700,40266,35404,13,183363,125103,12146,54,10,384136,192986.3077
동구 삼성동,3011011800,37639,33908,25,232118,240452,64856,195,84,544117,241736.08
동구 정동,3011011900,73998,44029,6,520664,446019,240368,120483,123167,1084710,595000.5
동구 중동,3011012000,26595,68697,8,332763,361543,120325,800,389,789598,377955.875
동구 추동,3011012100,18,166,16,5581,4503,89,77,3,10268,5862.4375
동구 비룡동,3011012200,83,286,6,1532,1622,132,65,19,3523,1802.333333
동구 주산동,3011012300,10,67,6,994,765,10,26,0,1836,1121.5
동구 용계동,3011012400,0,0,0,0,0,0,0,0,0,0
동구 마산동,3011012500,7,40,6,648,643,32,4,0,1338,755.1666667
동구 효평동,3011012600,3,22,7,2092,1692,27,3,0,3809,2333.714286
동구 직동,3011012700,2,8,4,826,602,12,7,1,1438,976.5
동구 세천동,3011012800,147,522,14,8076,8272,445,126,18,17017,8666.857143
동구 신상동,3011012900,30,149,8,2381,1568,76,21,4,4128,2577
동구 신하동,3011013000,21,141,8,2096,2039,42,17,1,4297,2350.875
동구 신촌동,3011013100,7,49,4,242,271,0,3,0,569,309.75
동구 사성동,3011013200,1,10,4,197,232,0,3,0,440,255
동구 내탑동,3011013300,0,0,0,0,0,0,0,0,0,0
동구 오동,3011013400,1,2,4,387,318,0,1,0,708,466.5
동구 주촌동,3011013500,1,2,6,679,660,0,9,0,1342,789
동구 낭월동,3011013600,10910,12320,11,155443,121691,18159,149,6,300364,166505.8182
동구 대별동,3011013700,1003,1939,12,997,1419,417,0,0,5358,1115.25
동구 이사동,3011013800,69,249,7,824,691,5,0,0,1833,922.7142857
동구 대성동,3011013900,8794,10289,14,94647,59600,5519,139,6,173330,98904.14286
동구 장척동,3011014000,3,20,2,557,502,1,3,1,1082,808
동구 소호동,3011014100,6,29,8,1120,877,14,1,1,2032,1229.625
동구 구도동,3011014200,811,1330,7,9167,10928,346,4,2,22236,10728.14286
동구 삼괴동,3011014300,26,118,11,5226,5062,50,16,0,10432,5686.181818
동구 상소동,3011014400,33,181,10,9274,6760,2,6,0,16248,9950
동구 하소동,3011014500,19,211,14,10457,10766,1,8,0,21453,11226
중구 은행동,3014010100,49340,47416,7,555205,450817,167876,56,270,1102778,619607.4286
중구 선화동,3014010200,78419,66627,24,400370,292275,86055,32079,38145,837691,412548.125
중구 목동,3014010300,31091,31588,12,142022,87817,8196,126,17,292518,149340.0833
중구 중촌동,3014010400,40005,44117,13,196298,179898,19764,93,12,460318,210136.3077
중구 대흥동,3014010500,110605,95795,28,410717,500963,91326,20944,21768,1118080,428608.5357
중구 문창동,3014010600,22640,17755,5,73207,83049,19020,62,11,196651,89816.8
중구 석교동,3014010700,11938,0,6,89856,69547,6459,116,4,171341,101447.1667
중구 호동,3014010800,4413,4753,2,44169,32728,3609,56,0,86063,60533
중구 옥계동,3014010900,6908,8560,5,67664,54335,8410,104,7,137467,78531
중구 대사동,3014011000,30778,40921,18,84557,78703,11650,239,73,234959,88929.38889
중구 부사동,3014011100,18106,0,7,168548,118107,42988,154,12,304761,185420.4286
중구 용두동,3014011200,33763,0,12,166121,119061,57567,139,6,318945,176042.75
중구 오류동,3014011300,73657,79064,15,368611,243221,134122,102577,103318,764553,384825.7333
중구 태평동,3014011400,68980,64275,26,257756,231251,16329,593,115,622262,266650.2692
중구 유천동,3014011500,76362,72907,19,338816,286117,35178,682,326,774202,353874.7895
중구 문화동,3014011600,66426,76531,43,646187,640948,120260,512,585,1430092,661092.7674
중구 산성동,3014011700,35461,36521,21,321787,250590,79148,314,28,644359,333719.8571
중구 사정동,3014011800,8711,10689,25,115371,91446,14064,99,7,226217,119028.84
중구 안영동,3014011900,2194,4363,16,33727,25313,2954,20,2,65597,35309.0625
중구 무수동,3014012000,2,42,4,232,178,2,1,3,454,276.5
중구 구완동,3014012100,0,9,2,321,258,2,0,0,588,450
중구 침산동,3014012200,17,102,9,1157,898,28,6,0,2174,1256.777778
중구 목달동,3014012300,2,40,7,845,942,33,12,3,1829,979.5714286
중구 정생동,3014012400,8,66,12,2032,1994,28,0,0,4100,2198.166667
중구 어남동,3014012500,1,20,8,1606,1548,1,1,0,3175,1799.5
중구 금동,3014012600,10,23,8,781,669,10,7,5,1483,864.625
서구 복수동,3017010100,33061,40159,19,196316,148294,13886,67,9,417830,204120.9474
서구 변동,3017010200,38323,38443,19,233323,180809,31445,282,34,490898,242839.2632
서구 도마동,3017010300,81140,83607,43,834394,708616,248375,1097,720,1707757,850873.4419
서구 정림동,3017010400,24911,27689,21,283634,247012,65585,159,70,583246,295396.4762
서구 용문동,3017010500,57343,49046,9,161255,114430,50852,62173,61947,382074,173969.4444
서구 탄방동,3017010600,153019,145336,25,497290,455723,88564,33369,33395,1251368,515518.92
서구 괴정동,3017010800,113552,99585,12,259660,199475,38615,55,17,672272,276282.9167
서구 가장동,3017010900,23350,24404,12,167238,138376,24631,202,32,353368,178769.3333
서구 내동,3017011000,37260,44302,17,274914,226231,51902,213,29,582707,288221.7059
서구 갈마동,3017011100,177282,164186,28,621208,510854,107436,35953,34568,1473530,639452.7857
서구 둔산동,3017011200,381207,385474,72,2543725,2223617,763494,68666,69810,5534023,2574608.569
서구 월평동,3017011300,137617,131339,32,500545,456778,98446,41854,41087,1226279,514819.3125
서구 가수원동,3017011400,35679,36359,22,307780,290650,79389,305,177,670468,320991.3636
서구 도안동,3017011500,33253,37967,22,210674,156121,28200,98,13,438015,217770.4091
서구 관저동,3017011600,93811,95077,60,684112,487723,75380,611,622,1360723,692240.7167
서구 흑석동,3017011700,45,384,19,16614,15981,2767,14,7,33024,17455.10526
서구 매노동,3017011800,1,88,5,1344,912,42,1,0,2345,1526.4
서구 산직동,3017011900,4,63,9,2261,1672,13,2,0,4000,2446.777778
서구 장안동,3017012000,15,116,18,3298,2463,66,4,0,5892,3434.833333
서구 평촌동,3017012100,7,62,12,6004,6643,90,1,0,12716,6557.583333
서구 오동,3017012200,3,38,4,770,796,11,0,0,1607,969
서구 우명동,3017012300,3,15,15,2285,3136,28,0,0,5439,2494.066667
서구 원정동,3017012400,4,10,12,1727,1257,3,0,0,2998,1831.75
서구 용촌동,3017012500,0,15,10,1408,1067,4,2,2,2490,1514.7
서구 봉곡동,3017012600,5,32,5,990,734,2,0,0,1761,1136.8
서구 괴곡동,3017012700,216,576,24,3776,3859,563,10,1,8427,3936.791667
서구 만년동,3017012800,49130,42815,11,229618,188051,59794,277,91,509614,246713.5455
유성구 원내동,3020010100,15902,17586,25,228564,221737,59732,512,121,483789,237433.48
유성구 교촌동,3020010200,3444,4777,8,25092,15722,716,19,4,49035,27057.25
유성구 대정동,3020010300,6919,10545,12,56085,44097,2684,62,1,117646,59759.75
유성구 용계동,3020010400,2062,4633,13,4324,1168,59,39,1,12187,4413.846154
유성구 학하동,3020010500,1382,2356,16,30701,26615,634,19,4,61054,32364.4375
유성구 계산동,3020010600,4486,6826,5,13734,8902,487,212,8,33948,15514.4
유성구 성북동,3020010700,5,120,14,3033,2404,1,0,0,5562,3204.714286
유성구 세동,3020010800,2,26,19,2834,2265,2,6,0,5127,2953.210526
유성구 송정동,3020010900,10,35,10,1307,1234,15,0,0,2586,1430.4
유성구 방동,3020011000,117,256,26,4114,4618,179,34,127,9105,4291.615385
유성구 봉명동,3020011100,194037,169613,34,977381,862566,350980,60199,61376,2203597,1002750.588
유성구 구암동,3020011200,24761,23730,28,179421,160134,81668,37636,38256,388046,185140.0714
유성구 덕명동,3020011300,10727,13359,15,149283,129365,9542,786,127,302734,157907.3333
유성구 원신흥동,3020011400,30492,33013,13,166363,146058,9362,404,48,375926,177598.2308
유성구 상대동,3020011500,20337,22505,12,70728,89789,1903,352,83,203359,78210.41667
유성구 복용동,3020011600,2026,3496,11,11769,10758,166,174,73,28049,12747
유성구 장대동,3020011700,40550,38114,18,114436,97013,16759,107,26,290113,119825.6111
유성구 갑동,3020011800,456,952,4,2601,3493,32,17,17,7502,3474.25
유성구 노은동,3020011900,16955,18149,12,74950,62432,20217,21749,21484,172486,80152.66667
유성구 지족동,3020012000,42423,46873,35,207559,194072,19421,45338,44945,490927,213103.9143
유성구 죽동,3020012100,18544,20195,8,26448,22660,637,129,2,87847,29280.5
유성구 궁동,3020012200,52118,46659,23,545506,482481,140321,329,63,1126764,566483.4348
유성구 어은동,3020012300,20412,26378,7,43054,45444,1795,20,16,135288,49546
유성구 구성동,3020012400,13144,13558,11,46093,45193,7149,42,1,117988,50201.45455
유성구 신성동,3020012500,23069,20827,24,118647,109092,11315,149,28,271635,123192.5
유성구 가정동,3020012600,4016,5030,4,17675,8411,1160,17,40,35132,19777.75
유성구 도룡동,3020012700,30816,30798,22,137482,124601,16056,65,25,323697,143145.6818
유성구 장동,3020012800,5664,8502,13,78076,59705,11801,4,0,151947,82668.69231
유성구 방현동,3020012900,147,261,4,2644,2237,55,0,0,5289,3203.25
유성구 화암동,3020013000,1929,3279,13,29092,25180,2994,79,0,59480,31028.92308
유성구 덕진동,3020013100,388,973,0,0,0,0,1,0,1361,0
유성구 하기동,3020013200,6450,9307,11,51532,48006,4797,155,21,115295,55896.18182
유성구 추목동,3020013300,355,940,4,1038,2489,3,2,0,4822,1660.25
유성구 자운동,3020013400,1484,1684,11,10282,7445,748,6,2,20895,10958.81818
유성구 신봉동,3020013500,1483,3341,8,18589,13439,335,29,0,36852,20268.875
유성구 수남동,3020013600,106,303,0,0,0,0,0,0,409,0
유성구 안산동,3020013700,41,200,5,2923,2106,169,9,1,5270,3344.2
유성구 외삼동,3020013800,106,351,3,1291,1715,439,4,10,3463,1862.666667
유성구 반석동,3020013900,16520,16506,15,114457,116349,59655,26377,28898,263832,122213.6
유성구 문지동,3020014000,8593,9369,9,49117,27101,1708,13,0,94180,52128.22222
유성구 전민동,3020014100,24214,27851,22,169064,156151,10047,199,8,377280,176161.7727
유성구 원촌동,3020014200,2028,2403,6,12996,12220,1288,12,0,29647,15032.66667
유성구 탑립동,3020014300,3779,6938,18,28970,25192,2885,0,0,64879,30369.55556
유성구 용산동,3020014400,10899,14163,19,70346,61802,3935,10,2,157210,73598.73684
유성구 봉산동,3020014500,7496,8780,14,13041,39523,1680,14,1,68840,15864.07143
유성구 관평동,3020014600,42914,35025,26,306725,251425,52699,134,16,636089,316395.1923
유성구 송강동,3020014700,18264,15274,14,278296,179511,33460,65,1,491345,291118.2143
유성구 금고동,3020014800,3,61,12,421,245,48,0,0,730,441.4166667
유성구 대동,3020014900,2,33,10,976,653,6,0,0,1664,1041.3
유성구 금탄동,3020015000,4,10,1,635,426,8,0,0,1075,1061
유성구 신동,3020015100,11,60,0,0,0,0,0,0,71,0
유성구 둔곡동,3020015200,38,262,1,208,2,0,0,0,510,210
유성구 구룡동,3020015300,40,197,5,286,415,1,0,0,938,369
대덕구 오정동,3023010100,54848,60732,36,521026,485582,162088,348,19,1122188,534514.3889
대덕구 대화동,3023010200,14866,21921,23,87025,71071,6545,100,5,194883,90115.04348
대덕구 읍내동,3023010300,9816,12559,14,168813,135599,54763,57,3,326787,178498.6429
대덕구 연축동,3023010400,876,1733,4,9901,22879,1032,0,2,35389,15620.75
대덕구 신대동,3023010500,2727,3240,2,89409,40011,21731,30,0,135387,109414.5
대덕구 와동,3023010600,1731,3614,14,44485,57504,20065,1,0,107334,48592.42857
대덕구 송촌동,3023010700,58366,60120,19,318077,204518,15913,188,5,641081,328841.1053
대덕구 법동,3023010800,35957,44018,19,312401,237624,33893,237,2,630000,324907.5263
대덕구 중리동,3023010900,80833,70780,25,394533,325431,68720,200,6,871577,407550.24
대덕구 비래동,3023011000,33346,32646,19,165414,206514,12491,92,11,437920,176283.1579
대덕구 석봉동,3023011100,14291,14107,11,173044,107161,23716,15,0,308603,182785.9091
대덕구 목상동,3023011200,8537,8444,5,60696,69991,16056,1,1,147668,74694.2
대덕구 문평동,3023011300,3606,5286,5,33960,37505,18326,0,0,80357,41461
대덕구 신일동,3023011400,4310,8429,25,92181,82628,22759,2,0,187548,95486.12
대덕구 덕암동,3023011500,10165,10202,8,55459,50036,2061,12,0,125862,61713.5
대덕구 상서동,3023011600,3185,4781,15,69049,55846,7775,12,2,132861,72772.06667
대덕구 평촌동,3023011700,2981,4305,9,28873,20241,1111,3,1,56400,31122
대덕구 장동,3023011800,42,390,17,6557,5106,18,18,2,12095,6857.352941
대덕구 용호동,3023011900,46,106,5,779,620,16,0,0,1551,903
대덕구 이현동,3023012000,6,21,6,333,653,7,1,0,1013,441.8333333
대덕구 갈전동,3023012100,2,13,4,250,165,0,0,0,430,291.25
대덕구 부수동,3023012200,0,0,0,0,0,0,0,0,0,0
대덕구 황호동,3023012300,0,0,0,0,0,0,0,0,0,0
대덕구 삼정동,3023012400,24,138,8,898,612,3,1,0,1672,974.5
대덕구 미호동,3023012500,45,225,11,2525,1997,5,1,0,4792,2706.545455
대덕구 신탄진동,3023012600,18845,23155,24,237213,197193,29536,127,9,476406,245429.375
